Date,DXY_R
4/7/2017,0.005066077
4/10/2017,-0.00158137
4/11/2017,-0.00306868
4/12/2017,0.000695065
4/13/2017,-0.002182983
4/17/2017,-0.002585471
4/18/2017,-0.007976101
4/19/2017,0.00241204
4/20/2017,0.000401053
4/21/2017,0.00200445
4/24/2017,-0.00890185
4/25/2017,-0.002724755
4/26/2017,0.001416707
4/27/2017,0.001212641
4/28/2017,-0.000302776
5/1/2017,0.000908592
5/2/2017,-0.001613839
5/3/2017,0.002323661
5/4/2017,-0.004535803
5/5/2017,-0.001113811
5/8/2017,0.005068424
5/9/2017,0.00443766
5/10/2017,0.000803314
5/11/2017,-0.000501605
5/12/2017,-0.003714144
5/15/2017,-0.003425652
5/16/2017,-0.008088191
5/17/2017,-0.007032953
5/18/2017,0.004721813
5/19/2017,-0.007458061
5/22/2017,-0.001749861
5/23/2017,0.003815168
5/24/2017,-0.001129944
5/25/2017,0.000102859
5/26/2017,0.001542437
5/30/2017,-0.001232064
5/31/2017,-0.003700668
6/1/2017,0.00288897
6/2/2017,-0.004938231
6/5/2017,0.000827151
6/6/2017,-0.001652934
6/7/2017,0.001138255
6/8/2017,0.001757085
6/9/2017,0.003611216
6/12/2017,-0.001336466
6/13/2017,-0.001647066
6/14/2017,-0.000412466
6/15/2017,0.005054652
6/16/2017,-0.002771179
6/19/2017,0.0038081
6/20/2017,0.002255726
6/21/2017,-0.001943754
6/22/2017,-0.000204971
6/23/2017,-0.002460508
6/26/2017,0.001336043
6/27/2017,-0.009853218
6/28/2017,-0.004353664
6/29/2017,-0.004372785
6/30/2017,0.000313782
7/3/2017,0.005644919
7/5/2017,0.000935593
7/6/2017,-0.004881099
7/7/2017,0.001982905
7/10/2017,0.000416634
7/11/2017,-0.003227538
7/12/2017,0.000522279
7/13/2017,-0.000626349
7/14/2017,-0.006476569
7/17/2017,0.000210241
7/18/2017,-0.004940534
7/19/2017,0.001478967
7/20/2017,-0.00559078
7/21/2017,-0.003500531
7/24/2017,0.000425814
7/25/2017,0.000744839
7/26/2017,-0.004040457
7/27/2017,0.00202843
7/28/2017,-0.006392489
7/31/2017,-0.004289095
8/1/2017,0.001830691
8/2/2017,-0.002149812
8/3/2017,-0.000215491
8/4/2017,0.007865564
8/7/2017,-0.001175978
8/8/2017,0.002247661
8/9/2017,-0.001281525
8/10/2017,-0.001283095
8/11/2017,-0.003533212
8/14/2017,0.004190384
8/15/2017,0.004172898
8/16/2017,-0.003835908
8/17/2017,0.001390577
8/18/2017,-0.002029513
8/21/2017,-0.003532077
8/22/2017,0.004833566
8/23/2017,-0.004275799
8/24/2017,0.001395566
8/25/2017,-0.005789033
8/28/2017,-0.005714891
8/29/2017,0.001518263
8/30/2017,0.005739026
8/31/2017,-0.002260971
9/1/2017,0.001510737
9/5/2017,-0.005387351
9/6/2017,-0.000216629
9/7/2017,-0.008234933
9/8/2017,-0.002185043
9/11/2017,0.00580312
9/12/2017,0.000544339
9/13/2017,0.006636851
9/14/2017,-0.004323325
9/15/2017,-0.002713851
9/18/2017,0.00195929
9/19/2017,-0.002824574
9/20/2017,0.007844003
9/21/2017,-0.00270241
9/22/2017,-0.000975547
9/25/2017,0.005207812
